ano,espvida,fectot,mort1,sobre60,e_anosestudo,gini,ppobcri,pren20ricos,pren80,rdpc,rdpc1,rdpc10,rmpob,rpob,theil,emp,theiltrab,t_banagua,t_lixo,t_luz,t_fora6a14,t_fundin_todos,t_m10a14cf,t_mulchefefif014,homemtot,mulhertot,pesorur,pesourb,i_escolaridade,idhm,idhm_l
1991,63.27,4.03,41.14,69.2,1.5,0.39,100.0,45.0,55.0,152.66,0.0,497.84,76.64,117.47,0.26,,,0.0,0.0,0.0,87.53,39.0,0.0,18.49,484,284,768,0,91,325,638
1991,59.32,4.47,56.02,61.89,5.82,0.54,96.98,58.55,41.45,76.31,12.15,326.94,46.03,58.17,0.51,,,3.27,0.0,7.73,44.66,45.49,0.0,4.4,6100,5319,11419,0,32,199,572
1991,61.51,4.88,47.44,65.94,7.16,0.44,84.09,47.12,52.88,149.14,30.72,430.39,66.91,101.55,0.35,,,4.57,0.0,38.39,38.9,38.05,0.0,13.98,2860,2378,5238,0,111,283,609
1991,60.79,3.89,50.16,64.6,6.03,0.5,84.65,55.05,44.95,174.67,37.91,693.21,74.58,99.24,0.44,,,4.54,0.0,27.33,25.36,31.71,0.0,5.01,2103,1696,3799,0,55,293,597
1991,59.66,4.05,54.65,62.51,6.34,0.71,89.24,74.46,25.54,325.36,38.27,2116.58,74.19,106.48,0.94,,,18.33,0.0,72.04,36.72,26.61,0.0,19.92,4217,3522,7739,0,159,366,578
1991,59.32,3.51,56.02,61.89,6.51,0.51,95.06,54.93,45.07,92.82,15.1,356.29,54.5,67.62,0.43,,,8.99,0.0,14.18,42.76,41.91,0.0,0.0,2355,2047,4402,0,62,221,572
1991,61.95,3.99,45.82,66.75,4.23,0.53,89.15,57.46,42.54,215.23,36.11,874.13,68.37,110.97,0.5,,,23.78,0.0,39.66,46.37,40.39,0.0,1.62,2148,1740,3887,0,83,281,616
1991,62.73,3.95,43.0,68.2,6.99,0.52,90.04,54.42,45.58,112.37,10.89,377.21,51.24,78.15,0.37,,,18.53,0.0,22.21,46.27,54.22,0.0,13.22,1547,1209,2756,0,64,237,629
1991,58.48,4.43,59.58,60.34,5.74,0.7,93.75,71.72,28.28,150.04,3.71,890.92,50.33,68.66,0.8,,,4.17,0.0,13.47,43.85,46.95,0.0,5.68,3811,3313,7124,0,49,217,558
1991,59.06,3.76,57.1,61.41,6.44,0.66,83.06,69.31,30.69,248.4,11.88,1243.6,59.15,75.79,0.74,,,16.37,0.0,51.83,35.81,35.2,0.0,3.23,2081,1680,3761,0,185,349,568
1991,63.27,4.53,41.14,69.2,7.31,0.78,92.19,80.33,19.67,239.14,13.62,1691.46,49.3,72.21,1.25,,,11.24,48.82,18.25,37.5,46.31,0.0,11.53,5103,4444,8144,1402,57,277,638
1991,63.84,3.59,39.23,70.25,5.63,0.6,94.28,63.32,36.68,139.31,15.2,697.63,59.5,80.97,0.58,,,9.72,0.0,19.49,37.34,42.41,0.0,6.61,6278,5564,11842,0,79,254,647
1991,61.51,3.8,47.44,65.94,5.62,0.58,80.73,59.36,40.64,203.86,14.6,826.1,52.02,87.06,0.54,,,16.64,0.0,26.97,35.57,46.91,0.0,6.43,4148,3385,7533,0,61,0.27,609
1991,60.43,4.05,51.56,63.94,4.78,0.54,95.4,57.27,42.73,113.92,14.16,454.62,52.51,76.18,0.42,,,5.65,0.0,15.19,46.78,42.19,0.0,11.82,3580,3145,6725,0,47,228,591
1991,62.73,3.36,43.0,68.2,4.29,0.44,92.19,49.56,50.44,142.31,37.05,444.88,70.88,97.56,0.33,,,8.13,0.0,15.08,59.91,43.76,0.0,7.51,1935,1523,3457,0,49,174,629
1991,64.46,3.95,37.19,71.39,6.23,0.52,93.28,54.69,45.31,142.54,21.25,590.75,64.7,95.72,0.39,,,3.01,0.0,21.25,35.8,34.49,0.0,18.79,1377,1170,1864,682,43,0.28,658
1991,62.73,4.06,43.0,68.2,7.63,0.51,93.94,56.6,43.4,128.53,28.37,534.33,65.41,86.58,0.45,,,12.38,0.0,22.54,33.63,44.87,0.0,9.6,2939,2563,5502,0,45,284,629
1991,62.73,4.34,43.0,68.2,5.71,0.48,92.55,54.83,45.17,112.83,29.01,430.53,62.34,78.51,0.39,,,4.62,0.0,13.0,34.02,39.44,0.0,0.76,3733,3214,6947,0,0.04,232,629
1991,63.84,4.19,39.23,70.25,5.41,0.71,90.74,74.71,25.29,154.47,0.0,909.78,38.02,56.12,0.61,,,4.42,0.0,23.13,58.44,51.08,0.0,0.0,1429,1142,2437,134,87,298,647
1991,62.3,3.83,44.53,67.41,5.26,0.69,96.53,71.09,28.91,135.92,2.73,782.66,48.59,65.4,0.78,,,6.73,0.0,15.19,45.74,36.64,0.0,15.57,2986,2505,5491,0,53,258,622
1991,64.18,3.36,38.09,70.88,6.4,0.5,88.98,56.16,43.84,145.63,30.18,546.93,66.92,86.65,0.4,,,5.31,0.0,13.68,35.92,48.59,2.76,9.36,2956,2585,5541,0,22,226,653
1991,63.16,4.15,41.52,69.0,4.7,0.61,89.45,62.17,37.83,134.75,0.0,568.61,41.27,74.8,0.48,,,3.89,0.0,14.79,44.83,44.37,0.0,6.28,3767,3044,6811,0,51,247,636
1991,63.84,4.03,39.23,70.25,5.0,0.59,84.27,63.46,36.54,186.33,20.69,808.62,58.39,84.67,0.65,,,7.3,0.0,14.47,39.21,35.87,1.48,1.92,5852,5146,10998,0,38,0.23,647
1991,59.95,4.0,53.47,63.05,3.54,0.75,94.23,77.04,22.96,104.05,0.0,635.09,32.33,43.79,0.75,,,2.38,0.0,9.38,56.87,47.78,2.96,2.95,2729,2175,4904,0,33,216,583
1991,63.84,3.54,39.23,70.25,5.69,0.5,92.84,54.88,45.12,125.04,25.43,481.46,62.15,83.5,0.42,,,6.05,0.0,10.57,36.54,46.24,0.0,4.51,4802,4058,8860,0,44,247,647
1991,64.1,4.89,39.43,70.51,4.01,0.6,85.91,62.68,37.32,223.65,26.96,1100.94,65.92,106.8,0.61,,,1.06,0.0,15.26,40.56,35.77,0.0,24.96,3653,3070,6723,0,0.04,247,652
1991,63.73,6.02,40.73,69.8,7.66,0.48,90.53,53.91,46.09,178.52,36.46,680.04,76.38,108.73,0.38,,,2.91,60.12,29.24,44.69,25.07,0.0,28.48,2275,1994,2653,1616,117,314,646
1991,62.33,3.59,45.75,67.18,5.81,0.56,87.89,60.12,39.88,176.76,23.52,773.91,63.92,90.8,0.54,,,13.72,42.33,40.98,47.48,35.84,0.36,13.9,6988,6304,6664,6628,126,336,622
1991,65.62,5.43,36.18,72.33,6.97,0.51,90.13,53.62,46.38,194.84,32.3,737.87,67.39,116.6,0.44,,,1.84,0.0,39.6,54.12,36.98,0.75,8.54,1720,1477,3196,0,0.06,267,677
1991,60.74,5.83,51.95,64.17,5.09,0.48,83.59,52.93,47.07,195.72,43.0,652.26,73.63,105.74,0.4,,,11.75,0.0,29.89,69.53,38.58,0.0,4.4,1275,1037,2312,0,67,183,596
1991,64.1,7.06,39.43,70.51,8.12,0.57,86.94,61.7,38.3,194.63,29.09,906.56,69.1,97.08,0.57,,,11.67,37.81,50.66,35.66,26.52,0.67,16.78,27577,27460,28271,26766,176,398,652
1991,63.56,3.54,41.3,69.5,7.97,0.58,88.52,62.93,37.07,229.95,40.35,1115.67,72.75,107.15,0.57,,,11.79,47.84,60.38,37.35,32.54,0.0,28.65,3791,3686,2549,4929,205,372,643
1991,60.04,6.26,54.83,62.85,4.23,0.55,92.74,60.05,39.95,139.3,24.01,631.66,63.95,85.05,0.5,,,7.08,14.99,30.93,70.29,30.04,0.0,22.57,10560,9966,13375,7151,82,258,584
1991,61.64,6.31,48.39,65.87,3.68,0.39,98.63,45.48,54.52,63.5,20.99,182.24,53.12,58.34,0.25,,,0.0,0.0,2.29,90.97,16.34,0.0,14.48,2238,2010,4121,127,0.02,0.17,611
1991,62.33,7.84,45.75,67.18,7.12,0.47,93.56,52.06,47.94,115.12,25.47,399.46,63.74,86.17,0.38,,,0.67,0.2,24.88,48.92,30.63,1.12,10.83,4928,4564,5917,3575,96,298,622
1991,63.56,4.99,41.3,69.5,2.84,0.62,94.45,64.5,35.5,111.5,4.51,569.5,53.27,65.46,0.54,,,0.49,11.63,31.23,67.85,36.07,1.06,15.96,3748,3384,4686,2446,41,218,643
1991,60.74,7.84,51.95,64.17,4.15,0.42,97.27,47.27,52.73,75.84,22.0,238.13,56.42,65.69,0.29,,,0.0,0.0,0.89,92.37,26.67,0.0,8.51,4762,4482,8953,291,6,186,596
1991,63.94,4.77,39.98,70.21,4.13,0.57,89.8,59.56,40.44,148.43,15.14,635.11,56.9,86.87,0.51,,,6.25,81.34,39.19,57.11,37.78,1.9,15.5,6030,5138,6836,4332,0.11,265,649
1991,60.74,7.84,51.95,64.17,5.9,0.45,97.73,50.58,49.42,72.49,17.81,250.62,52.27,61.74,0.32,,,0.0,0.0,9.27,66.4,18.28,0.0,8.56,3433,3114,5749,797,26,176,596
1991,66.02,3.9,33.21,74.07,7.93,0.6,66.6,64.49,35.51,437.12,56.67,2116.63,79.61,128.09,0.65,,,40.67,65.36,93.08,24.35,22.37,0.22,23.44,90878,93892,16889,167882,344,485,684
1991,62.33,7.84,45.75,67.18,5.58,0.48,95.09,55.89,44.11,88.55,23.23,342.75,52.42,64.11,0.37,,,0.83,0.0,8.38,51.77,23.03,0.0,18.59,2473,2231,4704,0,44,245,622
1991,63.56,4.63,41.3,69.5,4.23,0.39,98.36,46.25,53.75,84.23,23.01,243.54,57.66,74.06,0.18,,,0.0,0.0,1.88,100.0,25.93,9.25,0.0,608,550,1158,0,6,167,643
1991,65.62,4.81,36.18,72.33,6.47,0.56,84.57,59.68,40.32,223.06,35.99,1001.34,73.84,108.8,0.51,,,12.57,43.99,47.58,39.55,35.76,0.7,20.42,8499,7348,9544,6303,0.12,354,677
